winner,cluster,mod,lobby,r_1,r_2,r_3,r_4,r_5,d_1,d_2,d_3,d_4,d_5
-1,223,2,2,10,14,25,28,32,18,22,38,74,88
1,152,2,2,4,14,26,27,71,6,21,35,93,98
1,131,2,2,4,22,25,32,59,6,20,46,72,93
1,154,2,2,17,35,54,62,95,7,23,42,47,104
-1,171,2,3,16,31,36,44,73,6,9,11,29,86
1,122,2,3,2,57,63,74,104,12,28,55,70,113
1,224,8,3,14,22,36,93,96,18,38,41,55,74
-1,227,8,3,14,32,34,72,75,2,62,74,93,98
-1,111,2,3,3,59,73,81,105,8,41,64,70,83
-1,151,2,2,4,30,46,59,106,8,32,44,84,87
1,145,2,3,2,5,6,18,104,8,35,43,44,62
-1,231,2,2,3,9,10,14,102,1,13,31,35,104
-1,188,2,2,15,18,26,33,74,44,54,71,75,93
-1,156,2,3,2,18,44,63,97,5,6,14,48,51
-1,188,2,2,4,17,32,62,83,10,19,28,42,63
-1,144,2,3,6,21,35,41,44,4,14,70,94,104
1,153,2,2,18,70,73,85,96,11,15,17,44,62
1,227,2,3,31,44,70,74,84,6,9,23,40,56
1,153,2,2,4,8,74,93,104,31,32,41,44,54
-1,225,8,3,1,9,17,50,85,4,11,16,21,64
-1,155,2,2,14,25,56,105,109,6,21,74,91,104
1,186,2,2,8,11,25,96,98,10,14,18,30,42
-1,181,2,3,12,32,33,68,80,8,9,36,38,78
1,171,2,2,18,21,43,73,84,5,44,51,54,69
1,183,8,3,22,63,75,93,94,5,21,42,98,109
-1,145,2,2,6,15,36,54,74,14,33,35,44,59
-1,145,2,2,8,39,44,73,84,43,46,93,97,109
1,156,2,3,8,9,23,50,53,18,34,65,71,86
1,156,2,2,1,4,44,81,101,8,14,77,94,105
-1,121,6,2,9,26,42,99,106,68,84,93,98,102
-1,154,2,2,7,44,74,82,104,1,12,48,53,93
-1,156,2,3,4,46,69,93,95,25,32,42,44,52
1,227,2,3,14,62,67,74,98,10,29,59,86,94
-1,152,2,2,7,10,42,105,109,38,44,46,89,104
1,181,9,2,27,42,43,73,99,11,59,69,95,109
1,151,2,3,7,44,57,81,82,33,39,42,46,109
1,225,2,3,2,28,54,71,76,12,26,37,44,99
1,151,2,3,7,10,26,44,48,9,13,86,89,97
-1,111,2,2,18,28,32,35,51,22,44,54,84,97
1,151,2,2,14,39,44,47,74,17,28,30,59,93
1,187,2,2,14,27,44,59,80,22,31,71,106,112
-1,223,8,3,4,44,45,63,77,2,21,74,75,93
1,151,2,3,9,13,44,61,74,8,25,26,34,93
-1,155,2,3,8,9,63,95,98,4,35,37,97,102
1,232,2,2,8,9,16,48,96,18,22,30,84,100
1,154,2,3,10,18,30,42,68,9,36,57,73,88
-1,185,2,3,41,55,63,73,109,6,14,26,30,93
-1,152,2,2,14,21,25,32,104,35,53,67,92,112
-1,223,2,3,34,41,62,71,106,9,10,11,88,102
1,154,2,2,36,54,74,88,93,7,8,15,32,84
1,156,2,2,2,6,7,32,72,4,35,44,82,109
-1,145,9,2,6,8,32,43,60,14,18,19,70,75
1,151,2,2,1,2,9,47,88,23,32,70,73,80
1,224,2,2,2,11,50,67,110,9,16,41,79,88
1,181,2,3,4,6,9,20,97,2,8,11,41,50
1,192,2,3,2,26,35,75,85,7,17,44,70,84
1,223,8,3,32,70,82,86,96,9,11,93,97,110
1,155,2,3,4,5,32,76,81,1,6,9,18,104
1,181,2,3,6,11,28,93,111,38,60,62,74,104
-1,188,2,3,8,9,85,93,98,41,74,83,99,104
-1,224,8,2,11,14,22,41,86,1,16,31,49,103
1,155,2,2,8,14,73,86,101,26,35,51,74,95
